;dataset105_7sites_15samples;site;laboratory_job_re6;laboratory_re6_sample_bis;MinC;T10_HC_PYR;T30_HC_PYR;T50_HC_PYR;T70_HC_PYR;T90_HC_PYR;T10_CO_PYR;T30_CO_PYR;T50_CO_PYR;T70_CO_PYR;T90_CO_PYR;T10_CO2_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T10_CO_OX;T30_CO_OX;T50_CO_OX;T70_CO_OX;T90_CO_OX;T10_CO2_OX;T30_CO2_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;PseudoS1_PC;PseudoS1_TOCre6;S2;S2_PC;HI;OIre6;HI_OIre6;PC;PC_TOCre6;TOCre6;I_index;R_index;TLHC_index;soc_ea_g_kg;retained_soc_g_kg;defined_retained_soc_g_kg;cpsoc_sample_proportion;sd_cpsoc_sample_proportion
X13C;yes;cabana;2019-36;no;1.8;291;363;419;461;510;306;358;410;467;528;292;351;407;460;518;315;353;382;418;501;333;378;411;454;526;0.131116061333769;0.0319795271545778;0.00672390058121892;2.2085934092413;0.538681319327146;136;192.125208125208;0.707871712031503;4.1;0.21025641025641;19.5;0.191676449439491;0.574849544046627;0.647304340310586;19.3;19.5;tocre6;0.243692307692308;0.0263914040359313
X17C;yes;cabana;2019-36;no;1.7;294;366;420;462;511;303;356;410;468;528;291;350;406;460;519;311;350;388;445;530;337;382;417;469;538;0.122211944397765;0.0339477623327125;0.00690462962699237;1.90229253721452;0.5284145936707;129;193.731601731602;0.665869681801931;3.6;0.203389830508475;17.7;0.182125173356415;0.582195580862164;0.644012381143087;18.7;17.7;tocre6;0.268474576271186;0.0292489345796255
X21Bbis;yes;cabana;2019-36;yes;2.2;304;375;424;466;525;297;348;397;460;527;284;346;397;449;515;308;346;375;417;504;326;369;401;442;518;0.175565658031028;0.043891414507757;0.00938853786262182;1.88942917144072;0.47235729286018;122;227.446906035141;0.536388918744626;4;0.213903743315508;18.7;0.157459114466975;0.601824084217524;0.626913413678949;20.5;18.7;tocre6;0.254117647058824;0.0275877758179129
X21C;yes;cabana;2019-36;no;1.2;293;356;407;455;510;307;361;414;468;528;295;356;413;461;512;318;356;389;448;532;327;373;408;458;530;0.0833532384452971;0.036240538454477;0.00801473446589395;1.1885656939827;0.516767693035956;138;210.46953046953;0.655676855895197;2.3;0.221153846153846;10.4;0.277150963822471;0.526852434117729;0.680709896019598;10.8;10.4;tocre6;0.456923076923077;0.0528579193595268
X29C;yes;cabana;2019-36;no;1.5;295;354;401;452;506;311;369;422;473;532;294;354;409;457;510;329;381;435;508;616;330;373;404;446;521;0.0986835019985319;0.0318333877414619;0.00690094419570153;1.68850473728821;0.544678947512326;143;188.579420579421;0.758301195117817;3.1;0.216783216783217;14.3;0.31927001026353;0.503681797656219;0.69236253807788;14.1;14.3;tocre6;0.332307692307692;0.0368450582670686
X41C;yes;cabana;2019-36;no;1.2;302;374;424;465;521;299;352;403;464;529;285;345;395;447;512;319;354;380;412;492;326;369;399;437;519;0.0964559290105562;0.0419373604393723;0.00893110453801446;1.18041147189172;0.513222379083356;131;212.771524771525;0.615683889752957;2.3;0.212962962962963;10.8;0.162388969712827;0.598503377420751;0.627096277026391;11.7;10.8;tocre6;0.44;0.0505796306805469
X45C;yes;cabana;2019-36;no;1.2;300;368;419;463;522;299;353;403;463;528;287;348;400;451;512;324;363;392;435;528;325;370;400;440;523;0.0904668287386894;0.0411212857903134;0.00886929693516563;1.05816432594452;0.480983784520236;125;222.429335370512;0.561976232999038;2.2;0.215686274509804;10.2;0.203315518826755;0.575641614519775;0.643629847480135;11.1;10.2;tocre6;0.465882352941176;0.054078345321163
X49C;yes;cabana;2019-36;no;2.1;302;372;422;464;522;295;348;397;460;527;283;343;395;446;511;321;359;388;424;502;328;372;403;442;520;0.172436811540249;0.0410563837000593;0.00884291341232046;2.07969268159229;0.49516492418864;129;217.276057276057;0.593714749877391;4.2;0.215384615384615;19.5;0.180098526800529;0.590252685155878;0.634299322893005;21.7;19.5;tocre6;0.243692307692308;0.0263914040359313
X53Cbis;yes;cabana;2019-36;yes;2;308;382;429;469;528;299;353;404;467;531;286;348;400;451;515;316;354;384;419;477;330;375;408;442;511;0.136755560085909;0.0427361125268466;0.00804444471093582;1.50552601894009;0.470476880918778;107;197.51871657754;0.541720814381633;3.2;0.188235294117647;17;0.123418315133626;0.626192017341628;0.607063182806001;17;17;tocre6;0.279529411764706;0.0305392239139726
X5B;yes;cabana;2019-36;no;2.1;291;361;416;460;513;305;359;413;467;527;293;352;410;462;517;327;368;399;442;518;333;380;414;461;532;0.133448920338797;0.0317735524616183;0.00650970343116083;2.17443349197151;0.517722259993217;128;197.569844789357;0.647872149398456;4.2;0.204878048780488;20.5;0.22186512852746;0.561774152234468;0.652337882117664;23.3;20.5;tocre6;0.23180487804878;0.0250369566399617
X9B;yes;cabana;2019-36;no;1.4;301;375;426;463;508;305;358;410;467;530;290;347;402;455;517;314;352;380;419;512;330;374;407;455;529;0.0899575974559141;0.0310198611916945;0.00686699217220718;1.55982846223935;0.53787188353081;144;196.496877168633;0.732836073910832;2.9;0.221374045801527;13.1;0.131303155131845;0.606997587401971;0.62868947933374;13.9;13.1;tocre6;0.362748091603053;0.0406015417937335
X9C;yes;cabana;2019-36;no;2;291;363;418;460;510;301;352;405;465;527;290;348;405;460;520;314;353;386;443;535;333;379;417;475;543;0.162115706075587;0.0385989776370445;0.00885878175276432;2.27880992708833;0.542573792163888;150;209.213824426939;0.716969829364132;4.2;0.229508196721311;18.3;0.191673297686413;0.572674584047355;0.653993012351643;20.2;18.3;tocre6;0.259672131147541;0.0282285479255318
PAST1.1B;yes;cabana;2019-39;no;2.1;279;330;389;446;495;306;358;409;464;526;287;340;392;446;509;325;366;399;457;542;333;375;406;446;519;0.507672272432082;0.0576900309581911;0.0159645368689334;5.84633319274326;0.664356044629916;222;160.173813607776;1.38599434576504;8.8;0.276729559748428;31.8;0.366524712435113;0.465532374557428;0.720128267127985;29.4;31.8;tocre6;0.149433962264151;0.0158978554947701
PAST2.1C;yes;cabana;2019-39;no;2.3;284;343;400;448;496;306;361;415;477;539;292;348;403;457;519;305;341;366;404;515;325;369;402;441;517;0.27687475841325;0.0522405204553302;0.0123604802863058;2.97658442705585;0.561619703218085;160;187.665120593692;0.852582512370059;5.3;0.236607142857143;22.4;0.290524495601933;0.498009347155299;0.711361058787614;23.4;22.4;tocre6;0.212142857142857;0.0228181843962352
PAST3.5Cbis;yes;cabana;2019-39;yes;2.3;285;351;409;452;497;304;353;405;462;526;293;348;406;458;517;299;331;374;438;535;325;374;413;465;533;0.235007546794543;0.0419656333561684;0.0104914083390421;3.40395223596045;0.607848613564366;183;189.347866419295;0.966475109863461;5.6;0.25;22.4;0.219855988588605;0.534362277883899;0.694141986399067;22.3;22.4;tocre6;0.212142857142857;0.0228181843962352
